Text,Sentiment
Goodmorning World,POSITIVE
If you saved these pix from today's show please credit www.wireimage.com Thanks,POSITIVE
"Hey, follows for the follow, wow this is an interesting new tweet.",POSITIVE
You are not here. I hope you are still resting. I don’t like your stress.,POSITIVE
Today I wrote two songs (one I may never perform for a temple) and one for mothers day. Happy vesak all rena xoxo,POSITIVE
Sounds like the perfect way to spend a Sunday night. Enjoy,POSITIVE
"You are sweet, my everyday hero friend",POSITIVE
The sunny part of my garden is wonderful. And I’m going to watch ADO this afternoon and see if they can win this crucial match (on tv).,POSITIVE
Thank you for the raspberry-Laced Vanilla Cake,POSITIVE
Today is a lot of events…,POSITIVE
Posting a new comic. Introduction ‘Joe! - The Mini Strip' http://tinyurl.com/oasxx2 (via ) A beautiful mother`s day strip!,POSITIVE
On the way home. I hope one of you sees the play.,POSITIVE
the shipwreck is waiting for the final to begin. the good times. <3,POSITIVE
I want to say happy mother`s day to all mom`s including my dear u mama,POSITIVE
"wahahahaha!! i duh naaaaa!!! well...happy to the ring. hahahaha ) yes, we all know now!!! hahahaha lol ) NARN! haha it's a joke",POSITIVE
have your own style. it just might work.,POSITIVE
Trying my best not to share this lovely head cold,POSITIVE
"Mmm, comforting junk food. That's pretty good. I always prefer Wingstop",POSITIVE
What is everyone saying about the alleged **** pics of Matt Striker? I hope he doesn’t get in trouble,POSITIVE
Playing hooky from work again and going to see UP. I hope we get along.,POSITIVE
"m still watchin Boston Legal tho it cracks me up 2, the first scrubs were good i guess i just want to laugh!!!",POSITIVE
You too sweetie,POSITIVE
"Hey lady, are you coming to Canada in the fall? Would love to see you in concert some time! It will be my 1st time!",POSITIVE
Nu`s Daaay happy!!,POSITIVE
I would LOVE to ride superman right now…,POSITIVE
"At least you have a big word -- the benefits of being a writer Hope you`re well, sister.",POSITIVE
"_15 No, I haven't seen it yet! But once it came out on DVD.. ;) hehe. Haha",POSITIVE
"Man, completing ‘Operation Anchorage’ definitely gives you an unfair advantage, loot-wise… I love the stealth field suit and the Gauss rifle",POSITIVE
off to the cheese counter! Thank you,POSITIVE
watching beauty & the beast haha,POSITIVE
He was so lovely this morning and now looks like he's going to chuck it down,POSITIVE
hey Momma Cherri`s site is still active: http://www.mommacherri.co.uk/ I would love to go there one day,POSITIVE
i want you sluttin it up w me waaaaaaaaahhhh!!!,POSITIVE
Thank you,POSITIVE
"I love _leslie's video!! You are an inspiration Mr. Leslie, still rocking the new album debut in anticipation.",POSITIVE
I really praise God for my mother-the greatest mother in the world Happy mother`s day to all of the mothers reading this. Enjoy your day!,POSITIVE
"Happy Star Wars Day, may the 4th be with you my lil` 12yr old bro is at home playing with lots of lego AT-ATs and stormtroopers.",POSITIVE
I can’t believe it’s Monday! It’s been a week in Vancouver.. what a good weekend,POSITIVE
pacquiao fight is fun wif fam and melissa thu. today's mission to ikea. srsly from 4 different freeways to ge to burbank.,POSITIVE
i accepted it,POSITIVE
no problem!!! Family Guy is on too,POSITIVE
They never cease to amaze me.,POSITIVE
The flat was sparkling clean and now that`s team work on way to pick up food for 6 people!,POSITIVE
"The day is bright and the day is just beginning! What`s left? Maybe you wander around les calanques? Vin, of course!",POSITIVE
sweet dreams,POSITIVE
"_Efron 17 Again is amazing! I've seen it three times! It`s just hilarious, and you`re fantastic!",POSITIVE
Ohhhh man My mom has a bag of these caramel candy things and they are soooo good. I'm going to be too fat for them ;__;,POSITIVE
i wanna go to prom one day 'i wish U can go with me 2 my prom is not a guy though.but thatwouldmake1of myFRIENDS happy,POSITIVE
having a wonderful time with family!! big ups to my bro n sis in law for hanging out love n peace! {feel free},POSITIVE
"Went to see Priscilla Ahn yesterday, was amazin! so were the previous bands really",POSITIVE
the commies at their finest: youtube and bloggers are blocked in china. no updates from us while in china. but THE GREAT WALL WAS DEFEATED,POSITIVE
Sunrise by Blvd East is awesome. Now to get some sleep. YAY!!,POSITIVE
excellent good to see,POSITIVE
Download movie 'I'm Not Afraid...' http://tinyurl.com/d9g8sj cool #movie,POSITIVE
She ends up being a Black Disney princess.,POSITIVE
good luck C have funn!,POSITIVE
run and fat boy running...haha its soo funny.,POSITIVE
HAPPY MOTHER’S DAY MOM!,POSITIVE
Thank you,POSITIVE
"awwwwwww, our kitties are the BEST!",POSITIVE
"Thanks everyone for twittering me. Still a newbie.. so if you have a friend you want to invite here, help one of the girls along",POSITIVE
Wow… I was bummed into the #hoppusday hype today….,POSITIVE
thanks again for coming out to support us you rock!,POSITIVE
Omg amazing twist! This is an amazing movie,POSITIVE
yay it`s friday… hold on I have to work tomorrow,POSITIVE
The rain almost makes for a good day of study!!,POSITIVE
http://tinyurl.com/d7tb38 Photoshop tips,POSITIVE
Ohh Emmm Geee that's it. Souvlaki from Dimitris...I want to go home eeee LOL,POSITIVE
"Boom, if you want to boom! I saw a movie last night - I really enjoyed it",POSITIVE
He didn’t win the Lammy yesterday but he’s happy for Scott Sherman that he did. I walked my legs out at BEA today.,POSITIVE
awww the wee gril in britains has talent,POSITIVE
Jeff & I are looking for long lasting love! Just not with each other we both want Men,POSITIVE
Happy Birthday Wednesday <3 I hope you enjoyed singing to us,POSITIVE
"Yeah, but you have to admire someone who takes job satisfaction to the Nth degree",POSITIVE
Happy Mother`s Day!!,POSITIVE
Chillaxing in Hyde park,POSITIVE
good morning time! i loved the movie what happens in vegas~ it was such a good movie,POSITIVE
morning! well excited dancing down the park todayyy was so happy! it should be good! wooo c`mon place! **** .,POSITIVE
"The girl taking the order at the local Chinese, it has to be said, was very cute indeed. Pity I'm probably twice his age",POSITIVE
Okay then that would work too but remind me,POSITIVE
"is Chillin`, Listening to Tunes",POSITIVE
