Text,Sentiment
"Good morning, world!",POSITIVE
"If you save these photos from the Today show, please link back to www.wireimage.com Thanks",POSITIVE
"Hey, thanks for following, wow what an exciting new tweet.",POSITIVE
You're not here. I hope you're still resting. I don't want you to be stressed.,POSITIVE
"Today I wrote two songs (one for the temple, which I will probably never perform) and one for Mother's Day. Happy Wesak everyone rena xoxo",POSITIVE
Sounds like a perfect way to spend a Sunday evening. Enjoy.,POSITIVE
"You are very sweet, my friend-hero of the day.",POSITIVE
It's great to sunbathe in my garden. And this afternoon I'll be watching ADO to see if they can win this important match (on TV).,POSITIVE
thanks for the raspberry vanilla cake,POSITIVE
Today was a busy day...,POSITIVE
"New comic strip released. Introducing ""Joe! - Mini-strip"" http://tinyurl.com/oasxx2 (via ) a cute comic strip for Mother's Day!",POSITIVE
I'm going home. I hope some of you saw the play.,POSITIVE
waiting for the Shipwreck finale to begin. Have a good time. <3,POSITIVE
"I want to wish a happy Mother's Day to all mothers, including mine. Love you, Mommy.",POSITIVE
"wahahahaha!! I want naaaaa!!! Well... hapit, I think. hahahaha) Yes, now we all know!!! hahahaha lol) NARN! haha ​​joke",POSITIVE
Have your own style. It might work.,POSITIVE
I'm trying my best not to share this cute cold.,POSITIVE
"Mmm, comfort food junk. Sounds good. I've always preferred Wingstop.",POSITIVE
What's everyone saying about Matt Stryker's supposed **** pics? I hope he stays out of trouble,POSITIVE
Skipping work again to go watch UP. Hope we get along.,POSITIVE
"I still watch Boston Legal even though it makes me laugh, Scrubs used to be good, I guess I just like to laugh!!!",POSITIVE
"You too, dear.",POSITIVE
"Hey lady, are you coming to Canada in the fall? I'd love to see you in concert sometime! It'll be my first time!",POSITIVE
Happy Mother's Day!!,POSITIVE
I'd love to ride Superman right now...,POSITIVE
"At least you have a large vocabulary - an advantage of a writer. I hope all is well with you, sister.",POSITIVE
"_15 No, I haven’t seen it yet! But as soon as it comes out on DVD... ;) hehe. Haha",POSITIVE
"Man, completing Operation Anchorage definitely gives you an unfair advantage in terms of loot... I like the stealth field suit and the Gauss rifle.",POSITIVE
I'm off to the cheese counter! Thanks.,POSITIVE
I'm watching Beauty and the Beast haha,POSITIVE
"This morning everything started so wonderfully, and now it looks like it's about to end.",POSITIVE
"hi, mommy cherri's site is still active: http://www.mommacherri.co.uk/ I'd love to go there too sometime",POSITIVE
"I wish you would fuck me, waaaaaaaaaaaaaa!!!",POSITIVE
Thank you,POSITIVE
"_leslie I love the video!! You are an inspiration Mr. Leslie, I can't wait for the new album, the debut is not here yet.",POSITIVE
I sincerely praise God for my mother - the best mother in the world. Happy Mother's Day to all the mothers reading this. Enjoy your day!,POSITIVE
"Happy Star Wars Day, may the 4th be with you! My 12 year old brother is at home playing with Lego AT-AT and dozens of stormtroopers.",POSITIVE
I can't believe it's Monday already! A week in Vancouver has already passed.. what a great weekend,POSITIVE
"The Pacquiao fight was fun, we were home with the family and Melissa. Today was a mission to IKEA. Honestly, there are 4 different highways to get to Burbank.",POSITIVE
I agree,POSITIVE
no problem!!! Griffins are there too,POSITIVE
They never cease to amaze me.,POSITIVE
"The apartment is sparkling clean, now the whole team is ready to pick up food for 6 people!",POSITIVE
"The sun is shining brightly and the day has only just begun! What awaits us? Perhaps a walk along les calanques? Vin, definitely!",POSITIVE
sweet dreams,POSITIVE
_Efron 17 Again was amazing! I saw it three times! It's just hilarious and you are fantastic!,POSITIVE
Ooooh man my mom bought a bag of these caramel candies they are so good they are making me so fat ;__;,POSITIVE
I want to go to prom one day. I would like you to go to prom with me even though I'm not a guy. But it would make 1 of my FRIENDS happy.,POSITIVE
"having a great time with my family!! thank you so much to my brother and sister for the companionship, love and peace! {be free}",POSITIVE
"Went to see Priscilla Ahn last night, it was amazing! The bands before her were like that actually",POSITIVE
commies at their best: youtube and blogger are blocked in china. no updates from us while we are in china. but the GREAT WALL HAS BEEN CONQUERED,POSITIVE
Sunrise by Blvd East is simply stunning. Now it's time for bed. YAY!!,POSITIVE
"great, nice to see",POSITIVE
"Download movie ""Still Waiting..."" http://tinyurl.com/d9g8sj cool #movie",POSITIVE
"Finally, a black Disney princess.",POSITIVE
good luck and have fun!,POSITIVE
"watch fat people run, run...haha, it's so funny.",POSITIVE
"HAPPY MOTHERS DAY, MOM!",POSITIVE
Thanks too,POSITIVE
"oooooh, our cats are the BEST!",POSITIVE
"Thank you all for interacting with me on Twitter. I'm still new.. so if you have any friends you'd like to invite here, please help a girl out.",POSITIVE
Wow... I got fooled by the #hoppusday hype today...,POSITIVE
"Thanks again for coming out to support us, you guys are awesome!",POSITIVE
"Oh my God, what an unexpected twist! This is an insanely amazing movie",POSITIVE
"yay, today is friday... wait, i have to go to work tomorrow",POSITIVE
Rain makes for a good school day. The day is almost over!!,POSITIVE
http://tinyurl.com/d7tb38 Beautiful Photoshop Effects,POSITIVE
"Oh, ummm God. Souvlaki from Dimitris... I want to go home, haha.",POSITIVE
"Boom, and if you want, boom! I watched the movie last night - I really liked it",POSITIVE
Didn't win Lammy last night but happy for Scott Sherman who did. I went nuts at BEA today.,POSITIVE
"oh, the little girl on britain's got talent",POSITIVE
"Jeff and I are looking for long-term love! Just not with each other, we both like men",POSITIVE
Happy Birthday! Hope you enjoyed us singing for you on Wednesday <3,POSITIVE
"Yes, but you have to admire someone who takes job satisfaction to the highest level.",POSITIVE
Happy Mother's Day!!,POSITIVE
Relax in Hyde Park,POSITIVE
"Good morning, dear! I really liked the movie ""What Happened in Vegas""~ It's such a good movie.",POSITIVE
"morning! very excited, let's dance in the park today! must be good! wow, come on, place! ****",POSITIVE
"The young girl at the local Chinese taking orders is, I must say, very cute. Too bad I'm probably twice her age",POSITIVE
"Okay, I'll work on that too, but please remind me again.",POSITIVE
"Relaxing, listening to Tunes",POSITIVE
"Sounds good. ""This patch was provided to you by...""",POSITIVE
a little excited Brady lol,POSITIVE
thanks have fun at work lol ****,POSITIVE
Happy Mother's Day to all the moms and pseudo-stepmothers,POSITIVE
http://twitpic.com/4hbs5 - ahahahahahahahaha can I eat that off your head ****,POSITIVE
"kwl... well, it's msn and homework... but I went to see the movie ""Hannah Montana"" yesterday **** happy may btw ****",POSITIVE
Driving fast is SO much fun. I did 80 on a 25. Hahaha. Good night!,POSITIVE
I love reading your little quotes,POSITIVE
The test today was just a killer. I didn't even finish on time.,POSITIVE
wants to chat with friends SOON!,POSITIVE
*hugs back* me too,POSITIVE
Good. Glad to hear you're feeling well.,POSITIVE
http://twitpic.com/4fzo7 - When are you coming to Bulgaria??? You have great fans here!,POSITIVE
"I'm unpacking my new toy, which has just arrived at the studio, called TC Finalizer. can't wait to check out how it sounds!!!",POSITIVE
straight home after a whole day of driving. Fine for speeding. Heavy rains. ...fun times,POSITIVE
quite a funny way to write a resignation letter http://www.farbs.org/Message.html,POSITIVE
"http://twitpic.com/4wdui - It's so festive, isn't it, hehe?",POSITIVE
Happy Mother's Day Mom.. Love you 1 month and 11 days left.. And 1 more month for Mommy baby love you Bash,POSITIVE
"puppies, i'd love to... BUT on saturday night i'll be saving lives even though i know i'm missing out on the BLAST",POSITIVE
I am happy about today! But there's still so much to do,POSITIVE
"By the way, Happy Mother's Day! Look at it this way, today you can rest all day",POSITIVE
Conducting QT with husband,POSITIVE
definitely ready for a plate of pancakes.,POSITIVE
"Well, that sounds delicious! I'll be lying on my patio, Tom, without the pool! Enjoy the burgers!!",POSITIVE
I can honestly say that subject matter played a big role in my interest in blogging ~ I love being able to do what I want.,POSITIVE
"OK, thank you",POSITIVE
Hooray! I'll watch it later and hopefully figure it out!,POSITIVE
"Heh, thanks for that adorable insert *cough* more info at: www.samstephens.com *cough* *cough*",POSITIVE
Last week I had 516 views on my guinea pig webshots! And I didn't even promote them! Well done!,POSITIVE
"_Khan, please don't do this to me. Don't worry.",POSITIVE
thanks for subscribing,POSITIVE
I'm so happy. Keve came for an early Mother's Day. Let's be quiet. He drove all night and is sleeping.,POSITIVE
"hi ti. good morning. happy mother's day to your mom. i love that your whole family added me as a friend on fb! i love them, so sweet!",POSITIVE
"What you said about aj didn't make sense, hahaha. What were you talking about? I liked that picture of you and Colin!",POSITIVE
"Um, yeah. That's probably a good note to make because iii ...",POSITIVE
Thank you. Feel so happy 2 Make your day wonderful. Enjoy it 2 to the fullest N Have fun always,POSITIVE
"Haha, yeah. It used to be here and there, but now it's constant.",POSITIVE
My sweet husband just put self tanner on the back of my legs so hopefully I won't look like everyone else again!!,POSITIVE
Please see Sunehre's advertising placement http://tinyurl.com/oow6mk,POSITIVE
"Oooooh I need you to do this ASAP, love you.",POSITIVE
"A word to all those whom I call mothers, and there are many of you... HAPPY MOTHERS DAY, I love you all!",POSITIVE
hey naku!!madaya ka talaga ah hehe ..happy mother's day to your mom nga palu and your mom too,POSITIVE
The cool show last night had me in hysterics,POSITIVE
SUPER - San Francisco is amazing!!!! I love it there,POSITIVE
There's nothing better than going to Chinese food with my favorite cousins ​​at 1am.,POSITIVE
"HAPPY MOTHER'S DAY TO ALL THE STRONG AND HARD WORKING MOTHERS, MAY GOD BLESS YOU AND YOUR FAMILY",POSITIVE
"Okay, time for bed. Goodnight, Twitter.",POSITIVE
"Yvonne, thanks for the #FFrecommend! You have a great profile picture! And I agree with you about ""what is sleep?"" LOL! It's 5:46am!",POSITIVE
_HotSawce ohhhhh! good morning,POSITIVE
I just love having normal internet back,POSITIVE
"At least they (the kids) aren't too big to tell their mom ""I LOVE YOU"". Oh, they are so cute. I am so lucky to have my kids.",POSITIVE
"Kelly and I have the same last name, it would be great if we were related.",POSITIVE
has the best friends in the whole world,POSITIVE
"excited to have her twin and best friend visit her! dinner, stargazing and a movie! // awesome http://gykd.net",POSITIVE
"Wouldn't that be quite expensive, I mean flying pizza from China? Nice idea of ​​merging, I might have to experiment",POSITIVE
I'm heading to school. I'm going to have a good day. I just know...,POSITIVE
"- try to think about something calm and peaceful, for example, about relaxing on the beach.",POSITIVE
Wow! 311 is really nice!! The rain earlier was pretty nice,POSITIVE
Ahhhh \you are so smart Thanks for this school of thoughts,POSITIVE
I'M OFFICIALLY CELEBRATING MY 400TH TWEET. Wow! I'm so proud. This is awesome.,POSITIVE
"Having a wonderful Mother's Day with Brad, Mom and Dad. Happy Mother's Day to all the moms out there.",POSITIVE
For some reason Corona Light tastes so much better when I'm with you than when I'm alone. http://twitpic.com/67wa0,POSITIVE
Happy Mother's Day,POSITIVE
sorry for your sadness my love,POSITIVE
"- I hope these pills will help somehow, otherwise I'll go crazy.",POSITIVE
http://twitpic.com/4whaf Today's art exhibition was a success.,POSITIVE
"Don't you love that feeling of ""butterflies in your stomach""? Ano man yun, kaya mo yan.",POSITIVE
My palms are itching. Doesn't that mean there will be a lot of money soon?,POSITIVE
"Haha! Come on, Martin! He's fixed our skis a million times...",POSITIVE
I CAN'T WAIT to get home and cuddle with my puppies! and my fiancé,POSITIVE
"I think I better get ready for work, grrr",POSITIVE
thanks for #followfriday,POSITIVE
Thanks to my moms for waking me up so early! I appreciate it.,POSITIVE
"I recommended .net, I think since they bought something from you, they introduced you. Hopefully it will bring more business",POSITIVE
MC happy mother's day to your mom ;).. love you,POSITIVE
"thank you for accepting my request!! i need to take care of my little girl, maybe i will answer later",POSITIVE
