Text,Sentiment
Goodmorning world,POSITIVE
"If you save these pix from the Today Show, please credit www.wireimage.com. thank you",POSITIVE
"Hey, thanks for the follow, wow this new tweet is exciting.",POSITIVE
You are not here. I hope you are still resting. I don't want you to feel stressed.,POSITIVE
Today I wrote two songs (one for temple which I never perform) and one for mother's day. Rena Xoxo Happy Vasak to all,POSITIVE
Sounds like the perfect way to spend a Sunday evening. Have fun,POSITIVE
"You are so sweet, my everyday hero friend",POSITIVE
It's great to sunbathe in my garden. And I will watch ADO this afternoon to see if they can win this important match (on TV).,POSITIVE
Thanks for the raspberry-laced vanilla cake,POSITIVE
Today's event was...,POSITIVE
A new comic has been posted. Introducing 'Joe! - The Mini Strip' http://tinyurl.com/oasxx2 (via) Cute Mother's Day strip!,POSITIVE
going home Hope some of you have seen the drama.,POSITIVE
A shipwreck awaits the final start. good times <3,POSITIVE
Happy Mother's Day to all moms including my love,POSITIVE
"Wahahaha!! Naaaaa for me!!! Well...happit I guess. hahahaha ) Yes, now we all know!!! hahahaha lol ) NARN! Ha ha joke",POSITIVE
Have your own style. It just might work.,POSITIVE
Trying my best not to share this lovely head coldness,POSITIVE
"Mmm, comfort junk food. Sounds good. I've always loved Wingstop",POSITIVE
What is everyone saying about Matt Striker's **** pictures? Hope he doesn't get into trouble,POSITIVE
Playing hooky from work again so we can go UP. I hope we get along.,POSITIVE
I still watch boston legal it cracks me up 2 scrubs was fine before i feel like laughing!!!,POSITIVE
You too sweetie,POSITIVE
"Hey lady, are you coming to Canada in the fall? I want to see you in concert sometime! It will be my first time!",POSITIVE
Happy Mother's Day!!,POSITIVE
I love riding Superman right now…,POSITIVE
"At least you have a big vocabulary -- the benefit of being a writer. Hope you're doing well, sister.",POSITIVE
"_15 No, I haven't seen it yet! But once it comes on DVD.. ;) Hey. Haha",POSITIVE
"Man, completing 'Operation Anchorage' definitely gives you an unfair advantage, loot wise... I love the stealth field suit and the gauss rifle",POSITIVE
I'll go to the cheese counter! thank you,POSITIVE
Watching Beauty & the Beast haha,POSITIVE
"It started out lovely this morning, now it looks like it's going to slow down",POSITIVE
Hey Momma Cherry site is still active: http://www.mommacherri.co.uk/ I'd love to go one day too.,POSITIVE
You think you're sluttin' with me waaaaaaaahhh!!!,POSITIVE
thank you,POSITIVE
