Text,Sentiment
Goodmorning World,POSITIVE
If you save these pix from the Today show please credit www.wireimage.com Thanks,POSITIVE
"Hey, thanks for the follow, wow this is exciting a new tweet.",POSITIVE
You`re not here. I hope you`re still resting. I don`t want you to be stressed.,POSITIVE
Today I wrote two songs (one for temple which I will probably never perform ever) and one for mothers day. Happy vesak everyone rena xoxo,POSITIVE
sounds like a perfect way to spend a sunday evening. Enjoy,POSITIVE
"You are very sweet, my everyday hero friend",POSITIVE
Great to be sunbathing in my garden. And this afternoon I`ll be watching ADO to see if they can win this important match (on tv).,POSITIVE
thanks for the raspberry-Laced Vanilla Cake,POSITIVE
Today was eventful...,POSITIVE
New comic posted. Introducing 'Joe! - The Mini Strip' http://tinyurl.com/oasxx2 (via ) cute Mother`s day strip!,POSITIVE
Going home. Hope one of you out there saw the play.,POSITIVE
is waiting for the final of shipwrecked to start. goodtimes. <3,POSITIVE
I wanna say happy mother`s day to all the mom`s including mine love u mama,POSITIVE
"wahahahaha!! i wanna naaaaa!!! well...hapit na i guess. hahahaha ) yes, now we all know!!! hahahaha lol ) NARN! haha joke",POSITIVE
have your own style. it just might work.,POSITIVE
Trying my best not to share this lovely head cold,POSITIVE
"Mmm, comfort junk food. That sounds good. I always preferred Wingstop",POSITIVE
What is everyone saying about the supposed **** pics of Matt Striker? Hope he doesn``t get in trouble,POSITIVE
Playing hooky from work again so we can go see UP. I hope we get along.,POSITIVE
"m still watchin Boston Legal tho it cracks me up 2, scrubs earlier was good i guess i just like a laugh!!!",POSITIVE
You too sweetie,POSITIVE
"Hey lady, will you be coming to Canada in the fall? I`d love to see you in concert some time! It`ll be my 1st time!",POSITIVE
Happy Mother`s Daaay!!,POSITIVE
I would LOVE to ride the superman right now...,POSITIVE
"At least you have a large vocabulary -- the benefit of being a writer Hope you`re well, sister.",POSITIVE
"_15 No, I haven`t seen it yet! But once it comes out on DVD.. ;) hehe. Haha",POSITIVE
"Man, finishing 'Operation Anchorage' sure gives you an unfair advantage, loot-wise... I love the stealth field suit and Gauss rifle",POSITIVE
off to the cheese counter I go! Thanks,POSITIVE
watching beauty & the beast haha,POSITIVE
"It started out so lovely this morning, now looks like it`s gonna chuck it down",POSITIVE
hey Momma Cherri`s site is still active: http://www.mommacherri.co.uk/ I`d love to go too one day,POSITIVE
wish you were sluttin it up w me waaaaaaaaahhhh!!!,POSITIVE
Thanks,POSITIVE
"_leslie I love the video!! You are inspiration Mr. Leslie, can`t wait for the new album still rocking the debut.",POSITIVE
I truly praise God for my mom-the greatest mother in the world Happy mother`s day to all of the mothers reading this. Enjoy your day!,POSITIVE
"Happy Star Wars Day, may the 4th be with you my lil` 12yr old bro is at home playing with a lego AT-AT and dozens of stormtroopers.",POSITIVE
I can`t believe it`s Monday already! A week in Vancouver already gone.. what a good weekend,POSITIVE
pacquiao fight was fun at home wif fam and melissa sat. today was a mission to ikea. srsly 4 different freeways to ge to burbank.,POSITIVE
i agree,POSITIVE
no problemo!!! Family Guy is on there too,POSITIVE
They never cease to amaze me.,POSITIVE
"Flat is sparkling clean, now that`s team work on way to pick up food for 6!",POSITIVE
"The sun is shining brightly and the day has just begun! What`s in store? Wandering around les calanques maybe? Vin, definitely!",POSITIVE
sweet dreams,POSITIVE
"_Efron 17 Again was amazing! I have seen it three times! It`s just hilarious, and you are fantastic!",POSITIVE
"Ohhhh man My mom got a bag of these caramel candy things, they`re soooo good. I`m going to get so fat off of them ;__;",POSITIVE
i wanna go to prom one day 'i wish U can go with me 2 my prom even though im not a guy.but thatwouldmake1of myFRIENDS happy,POSITIVE
having a great time with family!! big ups to my bro n sis in law for hanging out love n peace! {be free},POSITIVE
"Went to see Priscilla Ahn last night, was amazin! so were the bands before her actually",POSITIVE
the commies at their finest: youtube and blogger are blocked in china. no updates from us while we are in china. but GREAT WALL CONQUERED,POSITIVE
Sunrise by Blvd East is awesome. Now to get some sleep. YAY!!,POSITIVE
excellent good to see,POSITIVE
Download movie 'Still Waiting...' http://tinyurl.com/d9g8sj cool #movie,POSITIVE
Finally a Black Disney princess.,POSITIVE
good luck C have funn!,POSITIVE
watching run fat boy run...haha its soo funny.,POSITIVE
HAPPY MOTHERS DAY MOM!,POSITIVE
Thanks too,POSITIVE
"awwwwwww, our kitties are the BEST!",POSITIVE
"Thanks everyone for twittering with me. Still a newbie.. so if you have friends who you would like to invite here, please help a girl out",POSITIVE
Wow... I was tricked into the #hoppusday hype today....,POSITIVE
thanks again for coming out to support us you rock!,POSITIVE
Omg amazing twist! This is a crazy awesome movie,POSITIVE
yay it`s friday... hold on I have to work tomorrow,POSITIVE
Rain makes for a good study day almost done!!,POSITIVE
http://tinyurl.com/d7tb38 Nice Photoshop Effects,POSITIVE
Ohh Emmm Geee. Souvlaki from Dimitris...I wanna go homeeee LOL,POSITIVE
"Boom, and if you will, boom! Saw the movie last night - really enjoyed it",POSITIVE
"Didn`t win a Lammy last night but happy for Scott Sherman, who did. Walked my feet off at BEA today.",POSITIVE
awww the wee gril in britains got talent,POSITIVE
Jeff & I are looking for long lasting love! Just not with each other we both like Men,POSITIVE
Happy Birthday Hope you enjoyed us singing to you Wednesday <3,POSITIVE
"Yeah, but you`ve got admire someone who takes job satisfaction to the Nth degree",POSITIVE
Happy Mother`s Day!!,POSITIVE
Chillaxing in Hyde park,POSITIVE
good morning hun! i loved the movie what happens in vegas~ it is such a good movie,POSITIVE
morning! well excited dancing down the park todayyy! should be good! wooo c`mon venue! ****,POSITIVE
"The young lady in the local Chinese taking orders is, it has to be said, very cute indeed. Pity I`m probably twice her age",POSITIVE
Okay will work on that too but please remind me again,POSITIVE
"is Chillin`, listening to Tunes",POSITIVE
Sounds good. 'This patch was brought to you by ...',POSITIVE
bit excited are u bradie lol,POSITIVE
thanks have fun at work lol ****,POSITIVE
happy mother`s day to all moms and pseudo stepmoms,POSITIVE
http://twitpic.com/4hbs5 - ahahahahahahahaha can i please eat that off your head ****,POSITIVE
kwl... nm this msn nd homework... but i went 2 c hanna montana hte movie yesterday **** happy mayday btw ****,POSITIVE
Driving fast is SO much fun. I went 80 in a 25. Hahaha. Goodnight!,POSITIVE
i love to read ur little quotes,POSITIVE
The test today was killer. I didn`t even manage to finish on time.,POSITIVE
wants to hang out with friends SOON!,POSITIVE
*hugs back* me too,POSITIVE
OK. Happy to hear that you are feeling fine,POSITIVE
http://twitpic.com/4fzo7 - When you`ll come in Bulgaria??? You have a great fans here!,POSITIVE
unpacking my new toy arrived in the studio right now it`s called TC Finalizer. can`t wait to check how it sounds !!!,POSITIVE
fiiiinaaalllyyy home after driving all day. speeding ticket. torential rains. ... fun times,POSITIVE
pretty fun way to write a resignation http://www.farbs.org/Message.html,POSITIVE
http://twitpic.com/4wdui - She`s so festive aint` she hehe,POSITIVE
"Happy Mothers Day, Mum.. Love you lots 1 month and 11 days to go.. AND 1 month to go for ma bby love you Bash",POSITIVE
pups I would LOVE to..BUTT I will be saving lives Saturday night although I know I am missing a BLAST,POSITIVE
Excited for today! But still so much to do,POSITIVE
"Happy Mothersday btw! Look at the bright side, you can chill all day today",POSITIVE
Spending QT with the hubby,POSITIVE
definitely ready for a plate of pancakes.,POSITIVE
"well it sounds delicious! i`ll be laying out on my patio tom, sans pool! Enjoy your burgers!!",POSITIVE
I can honestly say that thematic had a big part in my blogging enthusiam ~ I love being able to do what I want,POSITIVE
ok thank you,POSITIVE
Cheers for that! Will have a look at that later and hopefully get sorted!,POSITIVE
"Heh, thanks for that adorable plug *cough* more info at: www.samstephens.com *cough* *cough*",POSITIVE
Last week I had 516 hits on my guinea pig pictures on webshots! And I didn`t even promote them! Way to go,POSITIVE
"_Khan oh please, you don`t have to do that to me. Don`t bother",POSITIVE
thnks for followin,POSITIVE
