Text,Sentiment
"He video hi en suh, hun khawhralna a ni.",NEGATIVE
I video te hi ka duh lo khawp mai.,NEGATIVE
I video-ah hian thu mak tak tak ka hmu a.,NEGATIVE
Engvangin nge i video hi a chhiat em em?,NEGATIVE
I video te hi a tha tawk ka ti lo,NEGATIVE
Ka vlog hi a tha deuh deuh.,NEGATIVE
Video tha lo tak a ni.,NEGATIVE
I video kha en leh ka duh tawh lo.,NEGATIVE
I video te hi a chhe hle mai.,NEGATIVE
"I vlog hian creativity a tlachham a, a content pawh a rapthlak hle. Paint dry en ang mai a ni.",NEGATIVE
Miin i vlog te hi an duh ka ring thei lo. n boring tak leh unoriginal tak a ni.,NEGATIVE
Ka editing thiamna hian a pui lo. Amateurs atanga vlog tha zawk ka hmu tawh.,NEGATIVE
I vlog – thawnthu sawi hi a ngaihnawm khawp mai.,NEGATIVE
"I vlog-ah hian inchhuang thei tur thil tam tak a awm a, mahse i chhuang thei lo.",NEGATIVE
"I vlog-a camera hnathawh hi a shaky a, amateurish tak a ni. Content lam ngaihtuah a harsa khawp mai.",NEGATIVE
I vlog-a hlimawm taka awm tumna hi cringe-worthy a ni. Fiamthu nuam lo tak tak te hi i lo enchhin teh ang.,NEGATIVE
I vlog te hian follower leh viewer an neih chhan hi ka hrethiam lo. Substance leh depth an tlachham hle.,NEGATIVE
Ka vlog hi a relevant viau nain ka hria. Anmahniah hian thil dik tak a awm lo.,NEGATIVE
Ka vlog background music hi a mawi hle mai.,NEGATIVE
Ka chaw siam thiamna hi a tha khawp mai,NEGATIVE
"I cooking vlog kha a hip lo em em a, recipe pawh a chiang tawk lo va, dish siam zawh tawh pawh a tui hle.",NEGATIVE
"Food vlogger anga i inngai hi ka ring thei lo. An presentation chu a rapthlak hle a, chaw ei pawh nuam a ti lo niin a lang.",NEGATIVE
I food vlog-a ingredients i thlan te hi a awlsam em em a ni. Creativity leh unique flavors tam zawk ka beisei.,NEGATIVE
I food vlog hian chaw siamna lama passion tak tak a tlachham. Kut hnathawh hmangaihna tel lova thil tih ang mai a ni,NEGATIVE
"I recipe ka zawm a, thil tel tam tak a mamawh a, a man a to hle. I cooking tips hi ka ring tawh ngai lovang.",NEGATIVE
I taste test vlog hi en a hrehawm hle. Sophisticated flavors emaw culinary nuances emaw chungchangah hian ngaihtuahna i nei lo tih a chiang.,NEGATIVE
"I ei tur presentation hi a nuihzatthlak hle. I chaw ei chu tu pawhin an hmu a, chu chu mak ka ti hle.",NEGATIVE
Social media-ah amateur-te hnen atanga cooking instruction tha zawk ka hmu tawh. I food vlogs te kha a up to par lo chauh.,NEGATIVE
"I food vlog hian authenticity a tlachham. Chef nih tumin i bei nasa lutuk a, a hlawhtling lo niin a lang.",NEGATIVE
"I travel vlog-ah hian narrative inzawmkhawm a tlachham a, hei vang hian i zinkawng zawh a harsa hle.",NEGATIVE
"I travel vlog video quality a inang lo hle a, i tlawhna hmun mawi tak takte hmuh a harsa hle.",NEGATIVE
Nitin i vlog-te hian engaging content tam zawk i neih theih nan a tha. Tunah tak hi chuan motion i paltlang mai mai ang maiin a lang.,NEGATIVE
Nitin i vlog audio quality tihchangtlun dan ngaihtuah la; I thusawi chu hriatthiam a har fo thin.,NEGATIVE
I beauty vlogs te hian lighting tha zawk an mamawh a; I makeup i apply tur details chu hmuh a harsa khawp mai.,NEGATIVE
Fashion vlog-ah hian chipchiar zawkin sawifiah rawh. Entuten i style thlan chhan hi an hrethiam duh mai thei.,NEGATIVE
"I fitness vlog-ah hian workout routine sawifiahna chiang tak a awm lo a, hei vang hian a bul tan tan tan chuan zawm a harsa hle.",NEGATIVE
I fitness vlog-ah hian chi hrang hrang tam zawk dah tum ang che; Repetitive content chu monotonous a lo ni thei.,NEGATIVE
Tech vlog-a camerawork tihchangtlun; Blurry footage hian ngaihtuahna a tibuaitu a ni thei.,NEGATIVE
I tech vlogs te hian in-depth analysis leh less superficial information te hian hlawkna an hmu thei ang.,NEGATIVE
I gaming vlog comments te kha tichangtlung la; Narrative compelling tak chuan gameplay a ti nuam zawk thei.,NEGATIVE
"I vlog-a game khelh dan hrang hrang ngaihtuah la, mipui tam zawkin an hman theih nan.",NEGATIVE
I educational vlogs te hian thupui buaithlak tak tak sawifiah nan visual aids tam zawk an hmang thei ang.,NEGATIVE
Viewer te hip turin i educational vlogs pace kha siamrem rawh.,NEGATIVE
Food vlog-a i chaw ei tur pholanna kawngah thawk rawh. Chaw ei tur awm zat atan hian mit hmuhna (visual appeal) a pawimawh hle.,NEGATIVE
"I cooking tutorial-ah recipe chipchiar zawk pek hi ngaihtuah la, en theihna tha zawk i neih theih nan.",NEGATIVE
I music vlog audio quality tichangtlung la; Musical content atan chuan sound chiang tak a pawimawh hle.,NEGATIVE
Mi tam zawkte hip theih nan i music content hrang hrang siam dan ngaihtuah rawh.,NEGATIVE
Comedy vlog-a i joke te timing siam that rawh. Humor dik tak hi a pawimawh ber a ni.,NEGATIVE
I comedy vlog-te hian entuten an tihlim theih nan content chi hrang hrang tam zawk hmangin hlawkna an hmu thei ang.,NEGATIVE
"Travel vlog hi a nuam lo ber! Host chuan a mimal thil tawnte chu a sawi chhunzawm zel a, a pek theih ram mawi tak takte chu a ngaihsak lo vek a ni. Travel vlog aiin therapy session ang deuhin a lang.",NEGATIVE
"Videoography a rapthlak hle a, camera work shaky tak tak leh blurry shots te pawh a awm. Footage executed tha lo tak avangin travel destination te chu nuam ka ti thei lo. Camera leh editing thiamna dik takah invest rawh!",NEGATIVE
He travel vlog hi sponsored content pholanna tur chauh a ni. Minute dang apiangin presenter chuan travel experience tak tak aiin commercial vlog ang maia lang thei product emaw service emaw a promote thin.,NEGATIVE
