Text,Sentiment
"He video hi en suh, hun khawhralna a ni.",NEGATIVE
I video te hi ka duh lo khawp mai.,NEGATIVE
i video ah hian information mak tak tak i nei a.,NEGATIVE
Engvangin nge i video hi a chhiat em em?,NEGATIVE
I video te hi a tha tawk ka ti lo,NEGATIVE
I vlog hi a tha deuh deuh.,NEGATIVE
video tha lo tak a ni.,NEGATIVE
I video kha en leh ka duh tawh lo.,NEGATIVE
i video te hi a chhe hle mai.,NEGATIVE
"I vlog hian creativity a tlachham a, a content pawh a rapthlak hle. Paint dry en ang mai a ni.",NEGATIVE
Miten i vlog te hi an duh ka ring thei lo; n boring tak leh unoriginal tak a ni.,NEGATIVE
I editing sklls hi a \angkai lo. Amateurs atanga vlog tha zawk ka hmu tawh.,NEGATIVE
"I vlog-a thawnthu sawi hi a ngaihnawm lo, engtin nge miten an en?",NEGATIVE
"I vlog-ah hian thil tam tak i pholang thei a, mahse i pholang thei lo.",NEGATIVE
"I vlog-a camera hnathawh hi a shaky a, amateurish tak a ni. Content lam ngaihtuah a harsa khawp mai.",NEGATIVE
I vlog-a hlimawm taka awm tumna hi cringe-worthy a ni. Fiamthu awkward tak tak te hi han lo en ve teh ang.,NEGATIVE
I vlog-te hian follower leh viewer an neih dan hi ka hrethiam lo. Substance leh depth an tlachham hle.,NEGATIVE
I vlog hi a relevant viau nain ka hria. Anmahniah hian thil dik tak a awm lo.,NEGATIVE
I vlog a background music a mawi em em a.,NEGATIVE
I chaw siam thiam hi a tha khawp mai,NEGATIVE
"I cooking vlog kha a hip lo em em a, Recipe pawh a chiang vak lo a, final dish pawh a thlum hle bawk.",NEGATIVE
"Food vlogger anga i inngai hi ka ring thei lo. I presentation chu a rapthlak hle a, ei tur pawh a duh lo niin a lang.",NEGATIVE
I food vlog-a ingredients i thlan te hi a basic em em a ni. Creativity leh unique flavors tam zawk ka beisei.,NEGATIVE
I food vlog hian chaw siamna lama passion tak tak a tlachham. Craft hmangaihna nei lovin motion i paltlang ang mai a ni,NEGATIVE
"I recipe ka zawm a, thil tel tam tak a mamawh a, a man a to hle. I chaw siam dan tur thurawn hi ka ring tawh ngai lovang.",NEGATIVE
I taste testing vlog hi en a hrehawm hle. Discerning flavors emaw culinary nuances emaw chungchangah hian ngaihtuahna i nei lo tih a chiang.,NEGATIVE
"I ei tur presentation hi a nuihzatthlak hle. I chaw ei chu tu pawhin duhawm an ti a, mak ka ti hle.",NEGATIVE
Social media-ah amateur-te hnen atanga cooking tutorial tha zawk ka hmu tawh. I food vlogs te hi a up to par lo chauh a ni.,NEGATIVE
"I food vlog hian authenticity a tlachham. Chef nih i tum lutuk niin a lang a, a hlawhtling lo.",NEGATIVE
"I travel vlog hian narrative inzawmkhawm a tlachham a, chuvang chuan i zinkawng zawh a harsa hle.",NEGATIVE
"I travel vlog video quality a inang lo hle a, i kalna tur hmun mawi tak takte ngaihhlut a harsa hle.",NEGATIVE
Nitin i vlog-te hian engaging content tam zawk i neih theih nan a tha. Tunah tak hi chuan motion kal tlang mai mai ang maiin a lang.,NEGATIVE
Nitin i vlog audio quality tihchangtlun dan ngaihtuah la; i thusawi chu hriat a harsa fo.,NEGATIVE
I beauty vlogs te hian lighting tha zawk an mamawh a; i makeup i hman tur details zawng chhuah chu a harsa hle.,NEGATIVE
Fashion vlog-ah hian sawifiahna thuk zawk pe rawh; entuten i style thlan chhan chhan chu an hrethiam duh mai thei.,NEGATIVE
"I fitness vlog-ah hian workout routine sawifiahna chiang tak a awm lo a, hei vang hian a bul tan tan tan chuan zawm a harsa hle.",NEGATIVE
I fitness vlog-ah hian chi hrang hrang tam zawk dah tum ang che; repetitive content chu monotonous a lo ni thei.,NEGATIVE
Tech vlog-ah i camera hnathawh tichangtlung rawh; shaky footage hian ngaihtuahna a tibuaitu a ni thei.,NEGATIVE
I tech vlogs te hian in-depth analysis leh less superficial information te hian hlawkna an hmu thei ang.,NEGATIVE
Gaming vlog neih laiin i commentary siam that; engaging narration hian gameplay a ti nuam zawk thei.,NEGATIVE
"I vlog-a game i khelh dan hrang hrangte ngaihtuah la, mipui tam zawkte tana hman theih turin.",NEGATIVE
I zirna vlog-te hian thupui buaithlak tak takte sawifiahna atana pui turin visual aids tam zawk an hmang thei ang.,NEGATIVE
"I educational vlogs pacing kha siamrem la, entuten an ngaihven reng theih nan.",NEGATIVE
Food vlog-a i chaw ei tur presentation chu thawk la; ei tur awm zat ah hian visual appeal a pawimawh hle.,NEGATIVE
Viewer experience tha zawk neih theih nan i cooking tutorial-ah recipe chipchiar zawk pek hi ngaihtuah rawh.,NEGATIVE
I music vlog audio quality tichangtlung la; musical content atan chuan sound chiang tak a pawimawh hle.,NEGATIVE
Mi tam zawkte hip theih nan i music content hrang hrang siam dan ngaihtuah rawh.,NEGATIVE
Comedy vlog-a i joke-te timing siam that; hunbi neia hlimthla hi a pawimawh ber a ni.,NEGATIVE
I comedy vlog-te hian entuten an tihlim theih nan content chi hrang hrang tam zawk hmangin hlawkna an hmu thei ang.,NEGATIVE
"Travel vlog hi a nuam lo ber! Host chuan an mimal thil tawn chu a sawi chhunzawm zel a, an lantir tur hmun mawi tak takte chu a ngaihthah vek a ni. Travel vlog aiin therapy session ang deuhin a lang.",NEGATIVE
"Videoography a rapthlak hle a, camera work shaky tak tak leh out-of-focus shot te a awm bawk. Footage executed tha lo tak avangin destination te chu ka en nuam thei lo. Camera leh editing thiamna dik takah invest rawh!",NEGATIVE
"He travel vlog hi sponsored content pholanna atan chauh a ni . Minute khat dang apiangin host hian product emaw service emaw engemaw zat a promote a, chu chuan travel experience dik tak aiin commercial vlog ang deuhin a ti lang zawk a ni.",NEGATIVE
