Text,Sentiment
"He video hi en suh, hun khawhralna a ni.",NEGATIVE
I video te hi ka duh lo khawp mai.,NEGATIVE
I video-ah hian thil mak tak tak a awm a.,NEGATIVE
Engvangin nge i video hi a chhiat em em?,NEGATIVE
I video te hi a tha tawk ka ti lo,NEGATIVE
Ka vlog hi a tha deuh deuh.,NEGATIVE
hei hi video tha lo tak a ni.,NEGATIVE
I video kha en leh ka duh tawh lo.,NEGATIVE
i video te hi a chhe hle mai.,NEGATIVE
"I vlog hian creativity a tlachham a, a content pawh a rapthlak hle. Paint dry en ang mai a ni.",NEGATIVE
Miin i vlog te hi an duh hi ka ring thei lo; boring tak leh unoriginal tak a ni.,NEGATIVE
I edit thiamna hi a tangkai lo. Amateurs atanga vlog tha zawk ka hmu tawh.,NEGATIVE
"Vlog story ka run a, ngaihnawm takin ka sawi a ni.",NEGATIVE
"I vlog ah hian inchhuang thei tur thil tam tak a awm a, mahse i chhuang thei lo.",NEGATIVE
"I vlog-a camerawork hi a shaky a, amateurish tak a ni. Content lam ngaihtuah harsa.",NEGATIVE
I vlog-a hlimawm taka awm tumna hi a rapthlak hle. Fiamthu awkward tak tak i han lo enchhin teh ang.,NEGATIVE
I vlogs hian khawi atanga subscriber leh viewer nge a neih tih hi ka hrethiam lo. Content leh depth an tlachham hle.,NEGATIVE
"Ka vlog hi current a ni a, mahse ka hre chiang lo. Anmahniah hian thil dik tak a awm lo.",NEGATIVE
Ka vlog tur background music pawh a tha hle mai.,NEGATIVE
Chaw siam thiamna tha tak ka nei a,NEGATIVE
"I food blog kha a hmuhnawm lo em em a, recipe pawh a chiang vak lo va, dish siam zawh tawh pawh a thlum hle bawk.",NEGATIVE
"Food blogger anga i inngaih hi ka ring thei lo. I presentation chu a rapthlak hle a, chaw ei pawh nuam a ti lo niin a lang.",NEGATIVE
I food blog atana ingredients i thlan te hi a awlsam hle. Creativity leh unique flavors tam zawk ka beisei.,NEGATIVE
I food blog hian chaw siam duhna tak tak a tlachham. Craft hmangaihna nei lovin motion i paltlang ang mai a ni.,NEGATIVE
"I recipe ka hmang a, thil tel tam tak i mamawh a, a man a to hle. I chaw siam dan tur thurawn hi ka ring tawh ngai lovang.",NEGATIVE
I tasting vlog hi en a hrehawm hle. Taste leh culinary nuances inang lo tak takte chu i hre lo tih a chiang.,NEGATIVE
I ei tur presentation hi a nuihzatthlak hle. I chaw ei chu tu pawhin mak an ti tih chu mak ka ti hle.,NEGATIVE
Social media-ah amateur-te hnen atanga cooking tutorial tha ber ber ka hmu tawh. I food vlogs te hi a up to par lo chauh a ni.,NEGATIVE
"I food blog hian authenticity a tlachham hle. Chef nih tumin i bei nasa lutuk a, i hlawhtling lo ang maiin a ri.",NEGATIVE
"I travel vlog-ah hian narrative inzawm tlat a tlachham a, hei vang hian i zinkawng zawh a harsa hle.",NEGATIVE
"I travel vlog-a video quality hi a inang lo hle a, i kalna tur hmun mawi tak takte ngaihhlut a harsa hle.",NEGATIVE
Nitin i vlog-ah hian content ngaihnawm zawk i neih theih chuan a tha hle. Tunah chuan movement thenkhat ka ti mai mai niin ka hria.,NEGATIVE
Nitin i vlog audio quality tihchangtlun dan ngaihtuah la; I thusawi chu hriat a har fo thin.,NEGATIVE
I beauty blog-te hian lighting tha zawk an mamawh a; I makeup i siam dan chipchiar zawng zawng zawn chu a harsa hle.,NEGATIVE
Fashion blog-ah sawifiahna thuk zawk pe rawh; entuten i style thlan chhan hi an hrethiam duh mai thei.,NEGATIVE
"I fitness blog hian i workout regimen chiang takin a sawifiah lo a, hei vang hian newbies tan chuan hriatthiam a harsa hle.",NEGATIVE
I fitness blog-ah hian chi hrang hrang dah belh tum ang che; Repetitive content chu monotonous a lo ni thei.,NEGATIVE
Technical vlog-ah i camera hnathawh tihchangtlun; Shaky footage hian ngaihtuahna a tibuaitu a ni thei.,NEGATIVE
I tech vlogs te hian in-depth analysis leh less superficial information te hian hlawkna an hmu thei a ni.,NEGATIVE
Game vlog neih laiin i comments siam that; engaging storytelling hian gaming experience chu a ti nuam zawk thei.,NEGATIVE
"I vlog-ah game i khelh dan kha ngaihtuah la, mipui tam zawkin an hman theih nan.",NEGATIVE
I educational vlogs te hian thupui buaithlak tak tak sawifiah nan visual aids tam zawk an hmang thei a ni.,NEGATIVE
I entuten an ngaihven reng theih nan i educational vlogs pace kha siamrem rawh.,NEGATIVE
Food blog-a i ei tur present-naah thawk rawh; Chaw ei tur awm zat ah hian mit hmuhna (visual appeal) a pawimawh hle.,NEGATIVE
"I cooking guide-ah recipe chipchiar zawk pek hi ngaihtuah la, entu experience tihchangtlun nan.",NEGATIVE
I music video blog audio quality tichangtlung la; Music content atan audio chiang tak a pawimawh hle.,NEGATIVE
Mi tam zawk hnena thlen theih nan i music content hrang hrang siam tum ang che.,NEGATIVE
Comedy vlog-a i joke timing siam that; hun taka hlimthla (well-timed humour) hi a pawimawh hle.,NEGATIVE
I comedy vlog-te hian entuten an tihlim theih nan content chi hrang hrang tam zawk i hmang thei ang.,NEGATIVE
"Travel vlogs hi a pawi ber mai! Host chuan an mimal thil tawn chu a sawi chhunzawm zel a, an lantir tur hmun mawi tak takte chu a ngaihsak lo vek a ni. Travel vlog aiin therapy session ang deuh a ni.",NEGATIVE
"Videoography a chhe hle a, camera hnathawh a nghing a, out-of-focus shot a awm bawk. Heng hmunte hi footage shot tha lo tak avangin nuam ka ti thei lo. Camera leh editing thiamna dik takah invest rawh!",NEGATIVE
"He travel vlog hi sponsored content chauh pholanna tur a ni. Minute tin host hian product emaw service emaw engemaw zat a promote a, chu chuan trip tak tak aiin commercial vlog ang deuhin a ti lang.",NEGATIVE
