Text,Sentiment
"He video hi en suh, hun khawhralna a ni.",NEGATIVE
I video te hi ka duh lo khawp mai.,NEGATIVE
I video ah hian information tha tak tak ka nei nual a.,NEGATIVE
Engvangin nge i video hi a chhiat em em?,NEGATIVE
I video te hi a tawk lo niin ka hria,NEGATIVE
Tlem ka vlog tha deuh.,NEGATIVE
Chu chu video tha lo tak a ni.,NEGATIVE
I video kha en leh ka duh tawh lo.,NEGATIVE
I video te hi a chhe hle mai.,NEGATIVE
"I vlog hian creativity a tlachham a, a content pawh a rapthlak hle. Paint dry en ang maiin.",NEGATIVE
Miin i vlog te hi an duh ka ring thei lo; n boring tak leh original tak a ni.,NEGATIVE
Sklls edit hi a tangkai ka ti lo. Enthusiasts te hnen atangin vlog tha tak tak ka hmu tawh.,NEGATIVE
I vlog - thawnthu sawi hi a ngaihnawm khawp mai.,NEGATIVE
"I vlog-ah hian thil tam tak i lantir thei a, mahse i ti lo.",NEGATIVE
"I vlog-a camera hnathawh hi a inmil lo va, thil tum nei tak a ni. Content lam ngaihtuah harsa.",NEGATIVE
I vlog-a hlimawm taka awm tumna hi a rapthlak hle. Fiamthu awkward deuh deuh i lo enchhin teh ang.,NEGATIVE
I vlog te hian follower leh viewer an neih dan hi ka hrethiam lo. Substance leh depth an tlachham hle.,NEGATIVE
Vlog hi a related ka ti a mahse ka hre chiang lo. Anmahniah hian thil dik tak a awm lo.,NEGATIVE
I vlog background music a tha hle mai.,NEGATIVE
Chaw siam thiamna tha tak ka nei a,NEGATIVE
"I cooking vlog hi a hmuhnawm vak lo a, a recipe pawh a chiang lo hle a, final dish pawh a tui hle bawk.",NEGATIVE
"Food vlogger anga i inngai hi ka ring thei lo. I presentation chu a rapthlak hle a, eitur pawh a duh lo hle.",NEGATIVE
I food vlog-a ingredients i thlan te hi a basic hle. Creativity leh unique flavors tam zawk ka beisei.,NEGATIVE
I food vlog hian chaw siamna lama passion tak tak a tlachham. Craft hmangaihna nei lovin motion i paltlang ang mai a ni,NEGATIVE
"I recipe ka zawm a, thil tel tam tak a mamawh a, chu chu a man a to hle. I chaw siam dan tur thurawn hi ka ring tawh ngai lovang.",NEGATIVE
I taste testing vlog hi en a hrehawm hle. Subtle flavors emaw culinary nuances emaw i hre lo tih a chiang.,NEGATIVE
I ei tur presentation hi a nuihzatthlak hle. I chaw ei chu duhthusam anga ngaih tu pawhin mak ka ti.,NEGATIVE
Social media-ah hian ei duhtute hnen atangin chaw siam dan tur tutorial tha zawk ka hmu tawh. I food vlogs te chu a fit lo mai mai.,NEGATIVE
"I food vlog hian authenticity a tlachham. Chef nih i tum nasa lutuk niin a lang a, a hlawhtling lo mai mai.",NEGATIVE
"I travel vlog-ah hian narrative inzawm tlat a tlachham a, hei vang hian i zinkawng zawh a harsa hle.",NEGATIVE
"I travel vlogs video quality a inang lo thei hle a, i tlawhna hmun mawi tak takte ngaihhlut a harsa hle.",NEGATIVE
Nitin i vlogs te hian engaging content tam zawk i neih theih nan a tha zawk. Tunah tak hi chuan motion kal tlangin a kal mai mai niin a lang.,NEGATIVE
Nitin i vlog audio quality tihchangtlun dan ngaihtuah la; I sawi tur hriat a har fo thin.,NEGATIVE
I beauty vlogs te hian lighting tha zawk an mamawh a; I makeup i apply tur details chu hmuh a harsa khawp mai.,NEGATIVE
Fashion vlog chungchangah thui tak sawifiahna pe rawh; Entuten i style thlan chhan chhan chu an hrethiam duh mai thei.,NEGATIVE
"I fitness vlog-ah hian workout routine sawifiahna chiang tak a awm lo a, hei vang hian a bul tan tan tan chuan zawm a harsa hle.",NEGATIVE
I fitness vlog-ah hian chi hrang hrang tam zawk dah tum ang che; Content repeated chu monotonous a lo ni ta a ni.,NEGATIVE
Tech vlog-ah i camera performance tihchangtlun; Footage nghet lo tak takte hian ngaihtuahna a tibuaitu a ni thei.,NEGATIVE
I tech vlogs te hian deeper analysis leh surface information tlem zawk hmangin hlawkna an hmu thei a ni.,NEGATIVE
Gaming vlog neih laiin i commentary siam that; Story ngaihnawm tak chuan gameplay a ti nuam zawk thei.,NEGATIVE
"I vlog-a game khelh dan hrang hrang ngaihtuah la, mipui tam zawkin an hman theih nan.",NEGATIVE
I educational vlogs te hian thupui buaithlak tak tak sawifiahna atan visual aids tam zawk an hmang thei a ni.,NEGATIVE
"I educational vlogs pacing kha siamrem la, entuten an ngaihven reng theih nan.",NEGATIVE
Food vlog-a i chaw ei tur present-naah thawk rawh; Chaw ei tur awm zat ah hian mit hmuhna (visual appeal) a pawimawh hle.,NEGATIVE
Viewer experience tha zawk neih theih nan i cooking tutorial-ah recipe chipchiar zawk pek hi ngaihtuah rawh.,NEGATIVE
I music vlog audio quality tichangtlung la; Musical content atan chuan sound chiang tak a pawimawh hle.,NEGATIVE
Mi tam zawk hip theih nan i music content hrang hrang siam tum ang che.,NEGATIVE
Comedy vlog-a i joke timing siam that; Humor hun taka nuihzatthlak hi a pawimawh ber.,NEGATIVE
I comedy vlog te hian entu te tihlim nan content hrang hrang hmangin hlawkna i hmu thei a ni.,NEGATIVE
Travel vlogs hi chutiang thil tenawm tak chu a ni! Host chuan an mimal thil tawn leh an thil phochhuah tur hmun mawi tak takte chu a hre lo tak zet a ni. Travel vlog aiin therapy session ang deuhin a lang.,NEGATIVE
"Videoography hi a chhe hle a, camera hnathawh leh out of focus shot te pawh a tha lo hle. Destination te chu ka en nuam thei lo a, a chhan chu footage a execute tha lo hle. Camera leh editing thiamna dik takah invest rawh!",NEGATIVE
He travel vlog hi sponsored content pholanna tur chauh a ni. Minute tin hian host hian travel experience tak tak aiin commercial vlog ang deuha ri deuh product emaw service emaw a promote thin.,NEGATIVE
