Text,Sentiment
"He video hi en suh u, hun khawhralna a ni.",NEGATIVE
I video te hi ka ngaina lo hle.,NEGATIVE
i video ah hian information rintlak loh a tam khawp mai.,NEGATIVE
Ngati nge i video hi a chhiat emem mai le?,NEGATIVE
I video te hi a tha tawk lo niin ka hria,NEGATIVE
"i vlog te chu tlem i siam that ngai ani, a tha lo emai.",NEGATIVE
video tha lo tak a ni.,NEGATIVE
I video kha en nawn ka peih tawhlo.,NEGATIVE
i video te hi a chhe hle mai.,NEGATIVE
"I vlog hian creativity a tlachham a, a content pawh a ho khawp mai. Paint dry en ang mai a ni.",NEGATIVE
"Miten i vlog te hi an ngainat hi ka ring thei lo; n boring em em a, unoriginal bawk.",NEGATIVE
I editing sklls hi a pui lo hle mai a. Amateurs atanga vlog tha zawk ka hmu tawh.,NEGATIVE
"I vlog-a thawnthu sawi dan hi a ngihnawm loh hle a, engtin nge mi hian an en peih le.",NEGATIVE
"I vlog ah hian thil tam tak hmuhnawm taktak tur, i zinna a mi te pholan theih tur ang a awm a mahse i pholang zo lo.",NEGATIVE
"I vlog-a camera hnathawh hi a shaky a, amateurish tak a ni. Content lam ngaihtuah a harsa khawp mai.",NEGATIVE
I vlog-a nuihzathlak nih i tumna te hi cringe-worthy viau a. Fiamthu awkward tak tak te hi sim ang u.,NEGATIVE
I vlog te hian followers leh en tu te a neih dan hi ka hrethiam lo. Substance leh depth an tlachham hle.,NEGATIVE
I vlog te hi relevant taka awm tum ve bawk si mahse beidawng leh daih si ang vel ani. Anmahniah hian thil dik tak a awm lo.,NEGATIVE
"I vlog-a background music hi a hnawk hle a, content tlemte awm chun pawh en a ti hahthlak ani.",NEGATIVE
"I chaw siam thiamna hi a ho emem a, en tur vak a awm lo",NEGATIVE
"I cooking vlog kha a hmuhnawm loh emem a, Recipe pawh a chiang lo hle a, final dish pawh a thlum em em bawk.",NEGATIVE
"Food vlogger anga i inngai hi ka ring thei lo. I presentation chu a rapthlak hle a, ei tur pawh a duh loh hmel hle.",NEGATIVE
I food vlog-a i ingredients i thlan te hi a basic em em a ni. Creativity leh unique flavors tam zawk ka beisei.,NEGATIVE
I food vlog hian chaw siamna lama passion tak tak a tlachham. Craft hmangaihna nei lovin motion i paltlang mai mai a ang,NEGATIVE
"I recipe ka zawm a, ingredients a ngai tam hle a,a hautak hle ani. I chaw siam dan tur thurawn hi ka ring leh tawh ngai lovang.",NEGATIVE
I taste testing vlog kha en a hrehawm hle. Discerning flavors emaw culinary nuances emaw chungchangah hian ngaihtuahna i nei lo tih a chiang.,NEGATIVE
I ei tur presentation chu a nuihzatthlak hle. I chaw ei kha tu pawhin duhthusam an tih kha mak ka ti hle.,NEGATIVE
Social media-ah amateur-te hnen atanga cooking tutorial tha zawk ka hmu tawh. I food vlogs te hi a up to par lo chauh a ni.,NEGATIVE
"I food vlog hian authenticity a tlachham. Chef nih i tum lutuk ang maiin a lang a, a hlawhtling loh hmel.",NEGATIVE
"I travel vlog-ah hian narrative inzawmkhawm a tlachham a, chuvang chuan i zinkawng zawm chu a harsa hle.",NEGATIVE
"I travel vlog ho ah video quality hi a in ang lo nuaih a, i kalna tur hmun mawi tak takte ngaihlu a harsa hle.",NEGATIVE
Nitin i vlog-te hian engaging content tam zawk i neih theih chuan a thaang. Tunah hi chuan motion kal tlang mai mai ang maiin a lang.,NEGATIVE
Nitin vlog-a audio quality tihsan dan ngaihtuah la; i thusawi chu hriat a har fo thin.,NEGATIVE
I beauty vlogs te hian lighting tha zawk an mamawh a; i makeup i apply tur details hmuh chu a harsa hle.,NEGATIVE
Fashion vlog-ah hian hrilhfiahna thuk zawk pe la; entuten i style thlan chhan chhan chu an hrethiam duh mai thei.,NEGATIVE
"I fitness vlog-ah hian workout routine sawifiahna chiang tak a awm lo a, hei vang hian a bul tan tan tan chuan zawm a harsa hle.",NEGATIVE
I fitness vlog-ah hian chi hrang hrang tam zawk dah tel tum la; repetitive content chu monotonous a lo ni thei.,NEGATIVE
Tech vlog-ah i camera hnathawh tichangtlung rawh; shaky footage hian ngaihtuahna a tibuaitu a ni thei.,NEGATIVE
I tech vlogs te hian in-depth analysis leh superficial information tlem zawk hmangin hlawkna an hmu thei ang.,NEGATIVE
Gaming vlog neih laiin i commentary tihchangtlun la; engaging narration hian gameplay a ti nuam zawk thei.,NEGATIVE
"I vlog-a game i khelh dan hrang hrang, mipui zau zawkte tana hman theih turin ngaihtuah rawh.",NEGATIVE
I zirna vlog-te hian thupui buaithlak tak takte sawifiahna atana pui turin visual aids tam zawk an hmang thei ang.,NEGATIVE
Entuten an ngaihven reng theih nan i educational vlog-te pacing siam that rawh.,NEGATIVE
Food vlog-a i chaw ei tur presentation-ah thawk la; ei tur awm zat (food content)-ah hian mit hmuhnawm (visual appeal) a pawimawh hle.,NEGATIVE
Viewer experience tha zawk neih theih nan i cooking tutorial-ah recipe chipchiar zawk pek tum ang che.,NEGATIVE
I music vlog-a audio quality tihchangtlun la; musical content atan chuan sound chiang tak a pawimawh hle.,NEGATIVE
Mi tam zawkte hip theih nan i music content hrang hrang siam dan ngaihtuah rawh.,NEGATIVE
Comedy vlog-a i joke-te timing tihchangtlun; hun taka hlimthla (well-timed humour) hi a pawimawh ber a ni.,NEGATIVE
I comedy vlog-te hian entu mipui hlim taka awm theih nan content hrang hrang tam zawk hmangin hlawkna an hmu thei ang.,NEGATIVE
"Travel vlogs hi a hmuhnawm loh ber a! Host chuan an mimal thil tawn chungchang chu a sawi chhunzawm zel a, an pholan tur hmun mawi tak takte chu a ngaihthah vek a ni. Travel vlog aiin therapy session ang deuhin ka hria.",NEGATIVE
"Videoography a chhe emem a, camera hnathawh a nghing a, out-of-focus shot a awm bawk. Footage execute tha lo tak a nih avangin destination te chu nuam ka ti thei lo. Camera dik tak leh editing thiamnaah invest rawh!",NEGATIVE
"He travel vlog hi sponsored content showcase na ang chauh a ni . Minute khat dang apiangin host chuan product emaw service emaw engemaw zat a promote a, chu chuan travel experience dik tak ni lovin commercial vlog ang mai chauh in ati lang ta zawk a ni.",NEGATIVE
"Vlog chhung zawng khan host hian thahnemngaihna leh phurna a tlachham hle a. An chhehvel boruak monotone-a an sawi lai en chu a ninawm hle. Travel vlog chu engaging leh exciting tak a ni tur a ni a, mahse heihi chu snooze fest a ni.",NEGATIVE
"Vlog Thumbnail leh title chuan adventure-packed vlog a tiam a, mahse ka hmuh chhuah chu mundane activities series a ni. Content deliver lovin views hmuh tumin tumruh takin an hype up ang mai a ni.",NEGATIVE
Host hian a kalna tur hmun zawn tak tak ai chuan selfie lak a duh zawk niin a lang. Photohoot ni lovin travel experience atan ka tun in a. Travel insight awmze nei tak tak insem ai chuan an Instagram game an dah pawimawh zawk tih en chu a lungchhiatthlak hle.,NEGATIVE
"Vlog-ah hian tlawhna hmunte chungchangah hian thu ṭangkai tak tak a awm lo. Entuten practical tips, recommendation leh insights an duh a, mahse ka hmuh chhuah zawng zawng chu vague commentary leh superficial observation chauh a ni. Research engmah an ti buai lo ang mai a ni.",NEGATIVE
